time,open,high,low,close,HalfTrend,ATR High,ATR Low,Arrow Up,Arrow Down,Volume,Volume MA,Histogram,MACD,Signal,K,D,Histogram.1
2023-01-06 19:40:00+01:00,3879.42,3882.16,3878.66,3879.1,3877.0,3888.805569472339,3865.194430527661,,,18448270.0,16865134.5,0.0910132237407692,3.913683942733769,3.822670718993,77.88342139616776,82.87899254521956,-4.995571149051798
2023-01-06 19:45:00+01:00,3879.18,3879.91,3877.91,3879.26,3877.91,3889.637513777616,3866.182486222384,,,16002690.0,16773359.5,0.1488969460041369,4.008791901498171,3.859894955494034,78.49753136853947,82.00976356717078,-3.5122321986313096
2023-01-06 19:50:00+01:00,3879.27,3879.28,3877.01,3878.68,3877.91,3889.565638639839,3866.2543613601606,,,14823310.0,16568994.5,0.1051677472404728,3.9913546395446247,3.886186892304152,79.09671032776721,81.25684638151229,-2.1601360537450773
2023-01-06 19:55:00+01:00,3878.72,3882.02,3878.4,3881.24,3877.91,3889.521482253441,3866.298517746559,,,18220580.0,16450931.5,0.2001896608223665,4.13642396833211,3.936234307509744,79.94986829396224,80.64304631443214,-0.693178020469901
2023-01-06 20:00:00+01:00,3881.27,3884.37,3881.27,3884.0,3878.4,3889.9579674309066,3866.8420325690936,,,17769870.0,16300146.0,0.3895041378733186,4.423114479851392,4.033610341978074,81.22303955630785,80.1807130022783,1.0423265540295574
2023-01-06 20:05:00+01:00,3884.0,3884.71,3882.42,3884.71,3881.27,3892.758187756597,3869.781812243403,,,18236460.0,16250342.0,0.4962812196965966,4.65396186659882,4.157680646902223,82.81020977657424,79.9119625395771,2.898247236997136
2023-01-06 20:10:00+01:00,3884.73,3889.86,3884.69,3888.64,3882.42,3893.8967058790313,3870.943294120969,,,19506620.0,16299620.0,0.7500897823423758,5.095292874830193,4.345203092487817,84.84243398780596,79.88114392739395,4.961290060412011
2023-01-06 20:15:00+01:00,3888.65,3891.37,3888.65,3891.0,3884.69,3896.106538820241,3873.273461179759,,,18929300.0,16486535.5,0.9808464259065008,5.571261124870944,4.590414698964443,86.77217827446664,80.07872946305959,6.693448811407052
2023-01-06 20:20:00+01:00,3891.01,3894.63,3890.98,3894.22,3888.65,3900.025373432039,3877.2746265679616,,,20923290.0,16853486.5,1.2377055720911656,6.1375466640784,4.899841091987234,88.52582909770605,80.51013510849047,8.015693989215578
2023-01-06 20:25:00+01:00,3894.69,3894.74,3890.96,3891.23,3890.96,3902.2972196977184,3879.6227803022816,,,20684050.0,17133705.0,1.0983316066772255,6.272755600333767,5.174423993656541,90.04630715205093,81.14427116116735,8.902035990883576
2023-01-06 20:30:00+01:00,3891.27,3894.11,3891.27,3893.26,3890.96,3902.241447500741,3879.678552499259,,,18153370.0,17168351.5,1.0357739692593937,6.469141455230783,5.43336748597139,91.23424401241648,81.94706831303493,9.28717569938155
2023-01-06 20:35:00+01:00,3893.25,3896.98,3892.24,3896.47,3891.27,3902.5334330257338,3880.006566974266,,,18845200.0,17347077.5,1.0975867976884943,6.805350983082008,5.707764185393513,92.75772857857773,82.94552291936076,9.812205659216971
2023-01-06 20:40:00+01:00,3896.4,3897.26,3894.37,3896.78,3892.24,3903.448598695476,3881.031401304524,,,18004590.0,17475062.0,1.0465394466449096,7.01593849369965,5.969399047054741,94.08029028367734,84.0906816644079,9.989608619269449
2023-01-06 20:45:00+01:00,3896.78,3896.81,3892.92,3896.13,3892.92,3904.0943127085216,3881.745687291479,,,21389370.0,17834301.5,0.8637792757092679,7.049123141691325,6.185343865982057,94.65223600670558,85.288795456533,9.363440550172584
2023-01-06 20:50:00+01:00,3896.17,3900.28,3895.49,3900.28,3892.92,3904.0783695814366,3881.761630418564,,,20656330.0,18073391.5,0.9124007097545626,7.325844753175261,6.413444043420698,95.46467206964908,86.522446678825,8.942225390824063
2023-01-06 20:55:00+01:00,3900.34,3901.04,3899.02,3899.18,3895.49,3906.577185885622,3884.4028141143776,,,21296400.0,18377316.0,0.7663765544597236,7.371414736495353,6.60503818203563,96.08314927082272,87.73576187046868,8.347387400354037
2023-01-06 21:00:00+01:00,3899.17,3905.21,3899.17,3904.25,3899.02,3910.1171140267656,3887.9228859732334,,,24872580.0,18902142.0,0.8980154007577754,7.727557432982849,6.829542032225073,96.95595590962998,88.96632350654137,7.989632403088606
2023-01-06 21:05:00+01:00,3904.22,3905.51,3903.33,3905.1,3899.17,3910.1997428864975,3888.140257113502,,,23111880.0,19299366.5,0.925430011323332,7.986329546379238,7.060899535055906,97.9979519255002,90.22640627972358,7.771545645776612
2023-01-06 21:10:00+01:00,3905.24,3905.79,3902.13,3904.52,3902.13,3913.122645457633,3891.137354542367,,,24112670.0,19624284.5,0.7927132694540919,8.05179112187352,7.259077852419429,98.79404875965167,91.4826849774362,7.31136378221548
2023-01-06 21:15:00+01:00,3904.58,3906.19,3901.11,3901.66,3902.13,3913.114319003057,3891.145680996943,,,24844860.0,19941584.5,0.4192755016564504,7.783172229489992,7.363896727833541,98.57293299574236,92.63934454006515,5.933588455677182
2023-01-06 21:20:00+01:00,3901.69,3901.75,3897.36,3900.13,3902.13,3913.0922758130255,3891.167724186974,,,27174330.0,20377887.5,-0.0015434375884924,7.361967430847926,7.363510868436418,96.5132515088647,93.5528806555512,2.960370853313492
2023-01-06 21:25:00+01:00,3900.35,3900.68,3897.6,3897.87,3902.13,3913.044253054896,3891.215746945104,,,24689430.0,20812224.5,-0.4765833297855675,6.76778170620446,7.244365035990027,93.75149786488838,94.14681824735668,-0.3953203824682987
